file_path,model_name,loss_mode,weighted,model_filename,epoch,lr,patience,train_loss,val_loss,train_acc,val_acc,train_micro,val_micro,train_macro,val_macro,train_weighted,val_weighted,train_f1_C0,train_f1_C1,train_f1_C2,train_f1_C3,val_f1_C0,val_f1_C1,val_f1_C2,val_f1_C3,train_time,val_time,train_memory,val_memory,train_CE,val_CE,train_dice,val_dice
/home/jonathan/UrbanizedAreasSegmentation/experimental_results/UNetSmall-256-4types-DS-CEW-4ch-4tt.csv,UNetSmall-256-4types-DS-CEW-4ch-4tt,CE,True,/home/jonathan/UrbanizedAreasSegmentation/models/UNetSmall-256-4types-DS-CEW-4ch-4tt.pth,0,0.0009999999999999996,0,0.29388226052555083,0.10538722646018303,tensor(0.9568),tensor(0.9841),0.9136956673074652,0.9682597610140496,0.42969104647636414,0.48422902822494507,0.9002376794815063,0.9657028913497925,0.955020546913147,0.00026099607930518687,0.030219877138733864,0.7332627773284912,0.9844251275062561,0.0,0.125789076089859,0.8267019391059875,335.8160972595215,30.800044059753418,2945.40 MB,951.35 MB,0.29388226052555083,0.10538722646018303,0.6962508738506377,0.716749434484553
/home/jonathan/UrbanizedAreasSegmentation/experimental_results/UNetSmall-256-4types-DS-CEW-4ch-4tt.csv,UNetSmall-256-4types-DS-CEW-4ch-4tt,CE,True,/home/jonathan/UrbanizedAreasSegmentation/models/UNetSmall-256-4types-DS-CEW-4ch-4tt.pth,1,0.0009999999999999996,0,0.20895168740566816,0.10096101520516183,tensor(0.9643),tensor(0.9824),0.9286409804764154,0.9648198180378812,0.4794771075248718,0.49260812997817993,0.9176467657089233,0.9662567377090454,0.9631668925285339,0.0,0.15943211317062378,0.7953094244003296,0.9827079772949219,0.0,0.1350291520357132,0.8526952862739563,354.2772378921509,32.822410345077515,2967.65 MB,973.59 MB,0.20895168740566816,0.10096101520516183,0.6693022528367522,0.706448546519672
/home/jonathan/UrbanizedAreasSegmentation/experimental_results/UNetSmall-256-4types-DS-CEW-4ch-4tt.csv,UNetSmall-256-4types-DS-CEW-4ch-4tt,CE,True,/home/jonathan/UrbanizedAreasSegmentation/models/UNetSmall-256-4types-DS-CEW-4ch-4tt.pth,2,0.0009999999999999996,0,0.18305810067771572,0.11701644805012917,tensor(0.9681),tensor(0.9800),0.9362159358869786,0.9599435607618438,0.542007327079773,0.4855392575263977,0.9292526245117188,0.9619091749191284,0.967369019985199,0.0,0.380569189786911,0.8200912475585938,0.9853711128234863,0.0,0.19174079596996307,0.7650451064109802,338.9818744659424,29.92801547050476,2967.77 MB,973.72 MB,0.18305810067771572,0.11701644805012917,0.6554615444035347,0.7171011398075166
/home/jonathan/UrbanizedAreasSegmentation/experimental_results/UNetSmall-256-4types-DS-CEW-4ch-4tt.csv,UNetSmall-256-4types-DS-CEW-4ch-4tt,CE,True,/home/jonathan/UrbanizedAreasSegmentation/models/UNetSmall-256-4types-DS-CEW-4ch-4tt.pth,3,0.0009999999999999996,1,0.1546806552237641,0.10436737497535749,tensor(0.9726),tensor(0.9827),0.9451061250100441,0.9653952673377992,0.597238302230835,0.4691883325576782,0.940373957157135,0.9647369384765625,0.9715888500213623,0.0036333356983959675,0.5666399002075195,0.8470912575721741,0.9831152558326721,0.0,0.06058349832892418,0.8330546021461487,337.90022826194763,30.205325841903687,2967.77 MB,973.72 MB,0.1546806552237641,0.10436737497535749,0.6381551384358739,0.7041111609031414
/home/jonathan/UrbanizedAreasSegmentation/experimental_results/UNetSmall-256-4types-DS-CEW-4ch-4tt.csv,UNetSmall-256-4types-DS-CEW-4ch-4tt,CE,True,/home/jonathan/UrbanizedAreasSegmentation/models/UNetSmall-256-4types-DS-CEW-4ch-4tt.pth,4,0.0009999999999999996,2,0.13906686050910494,0.09284857282759773,tensor(0.9750),tensor(0.9850),0.9500298760340168,0.9699030807607639,0.6670645475387573,0.4994829297065735,0.9469813108444214,0.9681433439254761,0.9736959338188171,0.18161357939243317,0.6526530385017395,0.8602954149246216,0.9851996898651123,0.11898402124643326,0.04473369941115379,0.8490144610404968,339.4077789783478,30.98614263534546,2967.77 MB,973.72 MB,0.13906686050910494,0.09284857282759773,0.6240278790277656,0.7070191223633113
/home/jonathan/UrbanizedAreasSegmentation/experimental_results/UNetSmall-256-4types-DS-CEW-4ch-4tt.csv,UNetSmall-256-4types-DS-CEW-4ch-4tt,CE,True,/home/jonathan/UrbanizedAreasSegmentation/models/UNetSmall-256-4types-DS-CEW-4ch-4tt.pth,5,0.0009999999999999996,0,0.12069124613081293,0.09673834230323479,tensor(0.9779),tensor(0.9838),0.9558027846668707,0.9676303358014492,0.7617098689079285,0.5539841055870056,0.9544907212257385,0.9674943685531616,0.9764925837516785,0.47766175866127014,0.7199414372444153,0.872743546962738,0.9842177033424377,0.238899365067482,0.15000492334365845,0.8428143858909607,341.3146803379059,31.14982795715332,2967.65 MB,973.59 MB,0.12069124613081293,0.09673834230323479,0.6053572352148024,0.7003133544025918
/home/jonathan/UrbanizedAreasSegmentation/experimental_results/UNetSmall-256-4types-DS-CEW-4ch-4tt.csv,UNetSmall-256-4types-DS-CEW-4ch-4tt,CE,True,/home/jonathan/UrbanizedAreasSegmentation/models/UNetSmall-256-4types-DS-CEW-4ch-4tt.pth,6,0.0009999999999999996,1,0.10399768188476734,0.08258142707676723,tensor(0.9806),tensor(0.9871),0.9612080508640037,0.9742969370273765,0.8268711566925049,0.5873081088066101,0.9606201648712158,0.973548173904419,0.9788985848426819,0.6660581231117249,0.7779750227928162,0.8845528364181519,0.9883381128311157,0.20314233005046844,0.2928627133369446,0.8648894429206848,345.10636806488037,30.153934717178345,2967.65 MB,973.59 MB,0.10399768188476734,0.08258142707676723,0.5863427932338819,0.7005196344172929
/home/jonathan/UrbanizedAreasSegmentation/experimental_results/UNetSmall-256-4types-DS-CEW-4ch-4tt.csv,UNetSmall-256-4types-DS-CEW-4ch-4tt,CE,True,/home/jonathan/UrbanizedAreasSegmentation/models/UNetSmall-256-4types-DS-CEW-4ch-4tt.pth,7,0.0009999999999999996,0,0.09909375485398271,0.08369381108139703,tensor(0.9814),tensor(0.9874),0.9627902812439534,0.974898144097512,0.8432988524436951,0.5755227208137512,0.9623085856437683,0.973725438117981,0.9796831011772156,0.7219277620315552,0.7827751636505127,0.8888094425201416,0.9881133437156677,0.1514015793800354,0.2912394106388092,0.8713366389274597,404.74154257774353,67.89923787117004,2967.77 MB,973.72 MB,0.09909375485398271,0.08369381108139703,0.5785067154211776,0.6973708312667481
/home/jonathan/UrbanizedAreasSegmentation/experimental_results/UNetSmall-256-4types-DS-CEW-4ch-4tt.csv,UNetSmall-256-4types-DS-CEW-4ch-4tt,CE,True,/home/jonathan/UrbanizedAreasSegmentation/models/UNetSmall-256-4types-DS-CEW-4ch-4tt.pth,8,0.0009999999999999996,1,0.08310765697421939,0.10288620417194413,tensor(0.9843),tensor(0.9857),0.9685226271817371,0.9713789020502842,0.8812490701675415,0.49601995944976807,0.9682890176773071,0.9683743715286255,0.9825083613395691,0.8054181933403015,0.8330725431442261,0.9039973020553589,0.9852287173271179,0.04324832931160927,0.10492565482854843,0.8506771326065063,401.732439994812,59.02436327934265,2967.77 MB,973.72 MB,0.08310765697421939,0.10288620417194413,0.5607946880864622,0.7044055721107123
/home/jonathan/UrbanizedAreasSegmentation/experimental_results/UNetSmall-256-4types-DS-CEW-4ch-4tt.csv,UNetSmall-256-4types-DS-CEW-4ch-4tt,CE,True,/home/jonathan/UrbanizedAreasSegmentation/models/UNetSmall-256-4types-DS-CEW-4ch-4tt.pth,9,0.0009999999999999996,2,0.07087057955832576,0.08196674167512169,tensor(0.9864),tensor(0.9879),0.9727899731488039,0.9758101858587994,0.9043392539024353,0.5785773396492004,0.9726558327674866,0.9745425581932068,0.9847903847694397,0.8447703123092651,0.8737085461616516,0.9140877723693848,0.9882819056510925,0.23964697122573853,0.20486190915107727,0.8815186619758606,388.02399015426636,31.958516120910645,2967.77 MB,973.72 MB,0.07087057955832576,0.08196674167512169,0.5454762733482328,0.69591283219369
/home/jonathan/UrbanizedAreasSegmentation/experimental_results/UNetSmall-256-4types-DS-CEW-4ch-4tt.csv,UNetSmall-256-4types-DS-CEW-4ch-4tt,CE,True,/home/jonathan/UrbanizedAreasSegmentation/models/UNetSmall-256-4types-DS-CEW-4ch-4tt.pth,10,0.0009999999999999996,0,0.06493597670542937,0.10481749938500758,tensor(0.9875),tensor(0.9854),0.9750470989698716,0.9708078972316617,0.9131531119346619,0.5897005796432495,0.9749440550804138,0.9705060124397278,0.9860186576843262,0.8626493811607361,0.8822663426399231,0.9216780066490173,0.9869425296783447,0.26030081510543823,0.2692252993583679,0.8423335552215576,333.26225113868713,36.6961624622345,2967.65 MB,973.59 MB,0.06493597670542937,0.10481749938500758,0.5364690617699243,0.6974981123506813
/home/jonathan/UrbanizedAreasSegmentation/experimental_results/UNetSmall-256-4types-DS-CEW-4ch-4tt.csv,UNetSmall-256-4types-DS-CEW-4ch-4tt,CE,True,/home/jonathan/UrbanizedAreasSegmentation/models/UNetSmall-256-4types-DS-CEW-4ch-4tt.pth,11,0.0009999999999999996,1,0.06119243511671802,0.1025339423834145,tensor(0.9882),tensor(0.9859),0.9764062716252149,0.9718470937617659,0.9204928874969482,0.544721245765686,0.9763222932815552,0.9707676768302917,0.9867666959762573,0.8782476782798767,0.8918733596801758,0.9250839352607727,0.9863032698631287,0.1171516478061676,0.2152794599533081,0.8601506352424622,338.00330209732056,29.947081565856934,2967.65 MB,973.59 MB,0.06119243511671802,0.1025339423834145,0.5303136196655213,0.6973309513551094
/home/jonathan/UrbanizedAreasSegmentation/experimental_results/UNetSmall-256-4types-DS-CEW-4ch-4tt.csv,UNetSmall-256-4types-DS-CEW-4ch-4tt,CE,True,/home/jonathan/UrbanizedAreasSegmentation/models/UNetSmall-256-4types-DS-CEW-4ch-4tt.pth,12,0.0009999999999999996,2,0.05254877951859187,0.13077410377619722,tensor(0.9898),tensor(0.9834),0.9795668175510697,0.9668677462229504,0.9336695671081543,0.5487191081047058,0.979519784450531,0.9643422365188599,0.9884600639343262,0.8982411623001099,0.9136688113212585,0.9343082904815674,0.9841945767402649,0.14145119488239288,0.26885366439819336,0.8003770112991333,331.78132367134094,29.37226390838623,2967.65 MB,973.59 MB,0.05254877951859187,0.13077410377619722,0.5179926049248148,0.7126320152531033
/home/jonathan/UrbanizedAreasSegmentation/experimental_results/UNetSmall-256-4types-DS-CEW-4ch-4tt.csv,UNetSmall-256-4types-DS-CEW-4ch-4tt,CE,True,/home/jonathan/UrbanizedAreasSegmentation/models/UNetSmall-256-4types-DS-CEW-4ch-4tt.pth,13,8.685113737513523e-05,0,0.055868332424309664,0.08810053036445299,tensor(0.9892),tensor(0.9880),0.9783179864709044,0.975981364388648,0.9309186935424805,0.5843050479888916,0.9782657027244568,0.9747241735458374,0.9877049922943115,0.8948235511779785,0.9112134575843811,0.9299329519271851,0.9885198473930359,0.19171074032783508,0.2783678472042084,0.8786215782165527,329.1284375190735,30.10823917388916,2974.29 MB,972.84 MB,0.055868332424309664,0.08810053036445299,0.5255403675860535,0.6945208320308957
/home/jonathan/UrbanizedAreasSegmentation/experimental_results/UNetSmall-256-4types-DS-CEW-4ch-4tt.csv,UNetSmall-256-4types-DS-CEW-4ch-4tt,CE,True,/home/jonathan/UrbanizedAreasSegmentation/models/UNetSmall-256-4types-DS-CEW-4ch-4tt.pth,14,8.685113737513523e-05,1,0.05263425637939045,0.08761111909574727,tensor(0.9897),tensor(0.9879),0.9794887061452406,0.9758451385971268,0.9358996748924255,0.5862414240837097,0.9794436693191528,0.9747278690338135,0.9883430600166321,0.9037294387817383,0.9181874394416809,0.9333388805389404,0.9884888529777527,0.21505674719810486,0.2622556686401367,0.8791643977165222,331.71767830848694,29.66314959526062,2966.90 MB,972.84 MB,0.05263425637939045,0.08761111909574727,0.5203447355882515,0.6936420461478827
